,level_0,index,Unnamed: 0,author_name,author_url,language,profile_photo_url,rating,relative_time_description,text,time,sentiment
0,0,0,0,Hanna Kollbaum,https://www.google.com/maps/contrib/102613826943402445274/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gg5wpYi0g3ImWT1wj0Fl7tKHGU4LivZUWA5mVL32B8=s128-c0x00000000-cc-rp-mo,5,a month ago,Always excellent! Fast service and good food!,1633746686,Good
1,1,1,1,Jakob Palmer,https://www.google.com/maps/contrib/112990958470234023924/reviews,en,https://lh3.googleusercontent.com/a/AATXAJxNxfaTnB9JZJ6Obb6KSOw9AT8asPm-_mKyyQb8=s128-c0x00000000-cc-rp-mo,5,8 months ago,"Food is delicious and fairly priced, owner is extremely friendly. I would definitely recommend this place to anyone who likes food!",1616720073,Good
2,2,2,2,Jai Ananda,https://www.google.com/maps/contrib/113292467575234928659/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GhdpOeM0H2Hozm5RNBRfeMz3BJqNg5DTNoRS_MARQ=s128-c0x00000000-cc-rp-mo,1,6 months ago,Truly awful. i dont leave bad reviews like some other reviewers have said but this restaurant isnt even trying. Pad thai was soggy overcooked noodles green in color flavored with some curry powder red bell peppers and mostly beansprouts. No eggs no pickled ginger no peanuts no tofu. I dont think hes ever tasted pad thai before,1622679062,Bad
3,3,3,3,Wesley Muns,https://www.google.com/maps/contrib/117038083305878963442/reviews,en,https://lh3.googleusercontent.com/a/AATXAJwVVmENHuVnuAeRD6gDMBB57cUDb-BmMXVoh3QV=s128-c0x00000000-cc-rp-mo,1,9 months ago,"Worst food experience I've ever had. I've worked in some dirty kitchens in my life, but just a glance at the one here made me uneasy. Tried it to give them the benefit of the doubt, but was nasty tasting and made me feel ill. All the food tasted the same since he used ghe same wok and didnt even wipe it out in between items. DO NOT EAT HERE.",1614114509,Bad
4,4,4,4,Caelan Brady,https://www.google.com/maps/contrib/101577690314702718377/reviews,en,https://lh3.googleusercontent.com/a/AATXAJxSgt0ehiwAOV4jPO9fHTZblYKOLUuhcoD5DcJI=s128-c0x00000000-cc-rp-mo,5,10 months ago,"Great food and service! Had the stir fry, potstickers, and the udon noodles and they were all delicious. Please go out and support this local business! A Missoula staple.",1611968795,Good
5,5,0,0,Lacy Z,https://www.google.com/maps/contrib/108488781004476669548/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GhED728Rw1VwHk-AnM__K3IVmGjuL5KqCvQ_ZxP=s128-c0x00000000-cc-rp-mo-ba3,5,a month ago,Great experience every time. Love all the drinks and the pastries are great. The staff is always so nice. I go there several days a week. 10/10 would recommend.,1634619833,Good
6,6,1,1,C R,https://www.google.com/maps/contrib/109039289809425110321/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GiZ_RtdtT3rA2bVux-pPjzSjAIN_hzL5329kplPLw=s128-c0x00000000-cc-rp-mo-ba2,3,10 months ago,"Coffee was weak and definitely not worth the price. Atmosphere was okay.

Owner: Just saw your response. I'm a little spoiled after living in Seattle for 30 years. So many great places to get coffee and pastries. I'll continue to give your places another shot.",1612714726,Bad
7,7,2,2,shankapotamus Clickers,https://www.google.com/maps/contrib/110483849342695541792/reviews,en,https://lh3.googleusercontent.com/a/AATXAJy3caV_rYRd-LF1s1tltwgHIWip8BP0cy03yeQp=s128-c0x00000000-cc-rp-mo,5,a month ago,"They have the nicest staff!! Clean, open, great environment overall. I go here often to study and savor a different tea or coffee every time.😀",1634911316,Good
8,8,3,3,Christopher Johnson,https://www.google.com/maps/contrib/112461109203393920242/reviews,en,https://lh3.googleusercontent.com/a/AATXAJwzMmouDWNYRiH671ActEMrCgqjjlixvrv6dgte=s128-c0x00000000-cc-rp-mo-ba4,5,a month ago,I visited Missoula over Halloween weekend. I loved this place; they have delicious coffee. I got their Missoula roast and it smells and tastes great! Support your local business and come here! It was a good choice.,1635829107,Good
9,9,4,4,Dylan Spurgin,https://www.google.com/maps/contrib/105740789573065616845/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GgvOOx1qe8Ki2ZslEQTKumuXvxNvrFr9u11n66CAOo=s128-c0x00000000-cc-rp-mo-ba3,4,4 months ago,"Nice space for working or studying with wifi and lots of outlets.

Decent coffee, pastries and sandwiches for breakfast or lunch.",1627340260,Good
10,10,0,0,David Campbell,https://www.google.com/maps/contrib/102474052303454723955/reviews,en,https://lh3.googleusercontent.com/a/AATXAJyWjyGttjrwFTuIEnt2hrZ_jrFVvwGx99QoDoqS=s128-c0x00000000-cc-rp-mo-ba3,5,3 weeks ago,"Traveling through and found this place via google. Awesome location, building and atmosphere.
Had a great club sandwich and tried the coffee after lunch.
All was great!!! I highly recommend Market on Front!!
Thank You!!!",1636642075,Good
11,11,1,1,Keith Biddle,https://www.google.com/maps/contrib/102742891671830270916/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Ghkbyc0j-hBHnCKQIB8QtMx7wqphNOveMCYqaUA=s128-c0x00000000-cc-rp-mo-ba4,2,5 months ago,"Nice ambiance with outdoor seating. Service was ""meh"".

Waited for literally 30 minutes to get 3 sandwiches to go. We weren't the only ones, either. And this is not an isolated incident. Staff was taking breaks in the middle of the lunch rush, kitchen was obviously not prepped ( heard several calls for ""mayo packets"" and watched one dude leisurely chop avocados. By the time I got my sandwich, it was tepid. The toast was cold and the turkey and bacon were room temp. It's too bad, too, because I like the concept of the place. But I'm not gonna waste any more money or time here until they figure out whether they want to be a restaurant or a market because they obviously can't do both well.",1623531917,Bad
12,12,2,2,Liz Lorentz,https://www.google.com/maps/contrib/103365720756934659492/reviews,en,https://lh3.googleusercontent.com/a/AATXAJwOlnf4KfvKxhnjRsAPfHz83cGYv2mYDOeKp_M-=s128-c0x00000000-cc-rp-mo,1,a month ago,They say they offer gluten free food but don’t label which item is gluten free if you order in a group. Waited over an hour for food I can’t eat. When I called to ask which one was gluten free I was told “you should be able to tell”. Not good enough. When we got there we already saw several people ask about their food after waiting an hour. Horrible system for pickup and takeout orders.,1635710424,Bad
13,13,3,3,Sam Howell,https://www.google.com/maps/contrib/104294207263062630998/reviews,en,https://lh3.googleusercontent.com/a-/AOh14GitWjXUzf1v_koYjswdV4AOpTJd0iXbeBYp6nhTzw=s128-c0x00000000-cc-rp-mo-ba3,3,9 months ago,"The food is pretty good once you figure out how to get it, but the process for picking up orders is unclear and disorganized. Every time, I arrive well after the scheduled pickup time and never once has my food been sitting on the table ready for pickup. If I wanted to wait, I wouldn't have ordered pickup.",1614119208,Bad
14,14,4,4,Larry R Plant,https://www.google.com/maps/contrib/117672242180205959308/reviews,en,https://lh3.googleusercontent.com/a-/AOh14Gi-JStx77_JAknTJEuUXMOMPyH70b7-7UR0wwx69Q=s128-c0x00000000-cc-rp-mo-ba4,5,2 months ago,"Great breakfast burrito. Love the set-up and the community that it inspires. Met a nice young man traveling through from  Seattle, on a road trip.",1632515845,Good
