,level_0,index,Unnamed: 0,text,rating,time_created,Name,sentiment
0,0,0,0,"Found this by accident. My husband had 5 teeth pulled and needed soft food. The created a bowl burrito with out the tortilla, he loved it. I had the 2 taco...",5,2021-08-26 17:47:33,Janet S.,Good
1,1,1,1,"Not bad, not great. The carnitas tacos were medium-poor, but the quesadilla was solid. If you are looking for big portions, order the quesadilla! It was...",3,2021-02-27 13:38:56,Brenna C.,Bad
2,2,2,2,I am so disappointed in my taco. my friend ordered pulled pork taco and there's no pulled pork. no meat at all!!!!!! and her burrito is so gross. why would...,1,2021-06-06 12:07:48,Mattie S.,Bad
3,3,0,0,"This place has a ton of sandwich choices. The gimmick of naming them all after famous Doctors is fun. I had the Dr. Kildare with Turkey and Avocado, which...",4,2021-07-30 13:56:04,Kirk H.,Good
4,4,1,1,"This is my first time here and I already know I will be back multiple times. If you know me, that is quite a feat since this restaurant is located in...",5,2021-04-12 11:57:38,R W.,Good
5,5,2,2,Wonderful staff and great suggestions! Tomato basil soup was smooth and tasty. Dr.who sandwich was delicious. The value of my meal was perfect!,5,2021-07-23 12:49:08,Kari B.,Good
6,6,0,0,"Friendly service, and excellent beef lemongrass bahn mi. Top notch, really enjoyed it. It's a small spot in a strip mall, but don't be fooled, it's great!",5,2021-07-03 11:51:55,Chris D.,Good
7,7,1,1,It was very good. The pho is very comparable to the pho I would get in Seattle on Aurora Ave.   I ordered the steak and flank pho.   It was quite tasty and...,4,2021-11-22 10:35:09,David B.,Good
8,8,2,2,"This is an update to my first review of Vietnam Noodle. We just had lunch there again yesterday, and I STILL LOVE IT!!!!

Yes, the restaurant may not be the...",5,2019-11-18 23:59:08,Lisa W.,Good
9,9,0,0,"Terrific breakfast spot with great food, hearty portions, and warm and attentive service. I initially just stopped in for an afternoon iced coffee for...",5,2021-09-12 15:02:04,Will V.,Good
10,10,1,1,The food is so good! We did end up going here around 8 am and it had just started to get busy. The waitress and all of the staff were so kind! Some of the...,5,2021-07-12 18:09:03,Amber D.,Good
11,11,2,2,"I really wanted to like this place, it had nice outdoor seating, a wonderfully pleasant staff and vegetarian plus vegan options.  When I saw a few...",2,2021-06-28 13:16:10,Cascadia L.,Bad
12,12,0,0,This crew kicks ass.  The manager Crystal is absolutely on top of her game when it comes to being a manager with Integrity. My boyfriend and I go there...,5,2021-01-15 16:35:29,Robin G.,Good
13,13,1,1,So today me and my friend decided to see if she had a check from burger king bc she worked there last year but while I was in there the drive through chick...,1,2021-04-08 12:20:12,Mercedes S.,Bad
14,14,2,2,Nastiest food I've eaten! Took a bite from my burger and almost puked! I swear they are using rancid meat! I will never eat at this location again!,1,2021-07-10 20:48:55,Tyler W.,Bad
15,15,0,0,"The food at Caffe Dolce was very high end, and the service was professional yet warm. It is a bustling, charming spot that makes you think it is in a...",4,2015-03-17 09:44:20,Tiffany Y.,Good
16,16,1,1,9-9-21  My husband and I just had lunch at Cafe Dolce at the mall.  What a change from what it used to be.  I realize that Covid 19 has suppressed the once...,3,2021-09-09 13:49:12,Carol J.,Bad
17,17,2,2,Good coffee. Super mediocre service and when you order something with modifications they almost always get it wrong. Today I literally wanted a piece of...,2,2020-02-14 14:28:27,Olivia H.,Bad
18,18,0,0,"decided to try this place with my fiancé. we were craving sushi as we hadn't had any for a while. 

we showed up just after they had opened for the night,...",4,2021-11-13 22:36:17,Saliene S.,Good
19,19,1,1,"Wonderful innovative sushi. Great service (Tara)!
Please go you will not be disappointed!",5,2021-11-27 12:05:19,Lance F.,Good
20,20,2,2,"Appetizers of sashimi and tempura veggies were super tasty, and that's about as far as the positivity goes. The music kept getting adjusted louder, which...",3,2021-11-19 21:47:31,Kelsey C.,Bad
21,21,0,0,This one has been consistently very good.  Fried chicken is the best in Missoula (sorry Double Front).  Also one of my favorite breakfasts.  Everything is...,4,2021-11-23 11:24:20,Mark H.,Good
22,22,1,1,"My guy is eating healthy, so he got egg whites and turkey sausage, which tasted fine. Nothing spectacular. I got an egg sandwich with hash brown casserole...",3,2021-09-06 07:42:23,Jen B.,Bad
23,23,2,2,"I pulled into the Cracker Barrel parking lot/ camp ground! They are not open @ 7:45 am but they'll let you camp out in there parking lot!  
A national chain...",1,2021-07-14 06:51:34,Heath J.,Bad
24,24,0,0,"Amazing food and service. Coming back for sure. My husband and I liked the house salad, kale ceaser, and bison burger. Their Last Word cocktail was also...",5,2021-09-05 13:32:51,Michelle H.,Good
25,25,1,1,Great wine bar with a wonderful staff  get some truffle fries or anything from the delicious menu!!,5,2021-11-30 13:46:22,Madison M.,Good
26,26,2,2,"I have had good dinners here but was disappointed tonight. The bison green chili burger was overcooked, dry and didn't have a ton of flavor. The truffle...",3,2021-02-25 20:16:14,Brenna C.,Bad
27,27,0,0,"I've been told from friends and I saw in reviews that this spot is either hit or miss...but nothing in between. 

Luckily I went on a hit day! Loved this...",5,2021-07-26 16:46:32,Ashley C.,Good
28,28,1,1,It's not every day that all four people at a table express disappointment in the food. This would have been expressed to waitstaff - IF she would have...,2,2021-08-01 13:50:12,Deb D.,Bad
29,29,2,2,Seriously my favorite food in Missoula. I make a point to go here every time I'm back in town. During my 10 day visit I ate here 3 times and was so so...,5,2021-05-26 12:24:00,Ariel B.,Good
30,30,0,0,"We tried:
large pepperoni pizza
Large Pepperoni /jalapeño/garlic pizza 
cheese sticks 
Zappoli's (cinnamon/sugar pastries)

I gave the...",5,2021-06-17 19:05:10,Christen S.,Good
31,31,1,1,just moved back to missoula after 7 years and this is the best pizza around. really reminds me of European pizza :),5,2021-11-20 20:14:00,Sarah M.,Good
32,32,2,2,"Super glad this place has set up residence in Missoula. We ordered three pizzas and wings because we couldn't get through to Bigga pizza to order. 

Wings...",5,2020-06-26 22:58:49,Samuel M.,Good
33,33,0,0,"To the two 16 year old girls working on 7/30/21, Bravo. I waited 40 minutes for enchiladas and wanted to be upset, however I noticed a ""closed on Sunday due...",5,2021-07-30 19:08:40,Jake B.,Good
34,34,1,1,"I really wanted to love this place being that it is a locally owned restaurant, but my first time getting food from here was not what I had hoped it would...",3,2020-12-30 19:48:41,Lisa W.,Bad
35,35,2,2,Their sliced beef burrito was very good! One of the things I have to remind myself is that every taco shop is going to do things a little differently....,5,2021-06-21 21:14:04,Doug B.,Good
36,36,0,0,"This place is as close to a 10 as you will find.  Unbelievable appetizers, very energetic ambiance, great service and amazing g steak and drinks.

My...",5,2021-08-23 19:58:48,Mike S.,Good
37,37,1,1,"I'm so disappointed with this place. We had 6 people at a table and they charged us a 20% gratuity. That's BS!

Service was good from the girl taking care...",1,2021-08-07 20:30:39,Randy P.,Bad
38,38,2,2,"O.M.G. Go here!!! Eat the filet mignon!!! That is all!

Okay, not all, but seriously so darn good! I added the bearnaise sauce to my filet, along with...",5,2021-07-21 09:54:30,Angela M.,Good
39,39,0,0,I came to this location even though I was hoping to go to the main store but it's closed on Sundays. This location is in the mall which made me skeptical to...,4,2021-07-13 21:34:31,Brian F.,Good
40,40,1,1,"Best gyros in town.  Such a nice, family run business they are always so friendly and welcoming when you enter. Highly recommend. They grill the pita, so it...",5,2020-11-25 12:00:05,Stephanie D.,Good
41,41,2,2,"I don't understand what the other reviewers are talking about because this place is the best!! I've had salads, gyros, chicken, and fries that were all...",5,2020-07-12 17:14:51,Alyssa B.,Good
42,42,0,0,"I was so excited to try their Bahn Mi adjacent sandwich, so I was a numbed when I got there and discovered it was removed from the menu (see updated menu as...",5,2021-05-21 14:20:47,Ariel B.,Good
43,43,1,1,This place screams MISSOULA. It is quirky and unique in every way. They have a rotating menu of crazy concoctions that I highly suggest you try. The service...,4,2021-04-26 11:30:29,Jennifer T.,Good
44,44,2,2,Burns St Bistro is a cute little cafe and lunch spot. They also have some breakfast items to choose from. Today I had to get my meal to go but I can...,4,2021-05-01 15:28:26,Shelly A.,Good
45,45,0,0,"The family and I were excited to try Pho Vi, as it's the same owners as the Vietnamese Grill in downtown Missoula. 

The Pho was excellent as always! You...",5,2021-04-18 08:09:50,Michael F.,Good
46,46,1,1,"This restaurant is run by the same family that owns Vietnam Grille in downtown, which I think has the best Vietnamese food in Missoula. 

Our family...",5,2021-03-22 07:27:59,Samuel M.,Good
47,47,2,2,"Absolutely Excellent!  I decided to check-out Pho Vi for dinner based on the ""five-star"" online reviews... the restaurant does not disappoint and deserving...",5,2021-06-16 21:00:18,Charles B.,Good
48,48,0,0,This is a classic joint. Think Norman F***ing Rockwell 1950s America with hard-working high school boys and girls that serve the ice cream. They're always...,5,2021-07-14 20:33:18,Ted K.,Good
49,49,1,1,Sweet people making sweet things! A Missoula classic and still the only place in town that makes silly bars by hand. It does seem like the facilities...,5,2020-09-04 20:20:57,S P.,Good
50,50,2,2,I ordered 3 things and the girl beside the girl who took my order gave out such a big sigh because she had to make something. I probably won't ever come...,1,2019-03-16 18:26:58,Emily L.,Bad
51,51,0,0,"Beautiful location and building. Romantic atmosphere. However, the food wasn't that great for what we paid. Small portions and nothing special.",4,2021-11-13 16:52:18,Mary D.,Good
52,52,1,1,"Everyone recommends this place -and yes it's worth the trip. An elegant atmosphere, super pleasant staff and very interesting menu guarantee a nice and...",5,2021-11-13 13:25:56,Jens B.,Good
53,53,2,2,"Great atmosphere and food is very good. A bit pricey for what you get. Love sitting in the bar area and, THAT VIEW!",5,2021-10-17 07:24:33,Lynda W.,Good
54,54,0,0,Never going back here again. Sat in line after ordering for 9 minutes while the employees passed some sort of rodent back and forth with a customers car. A...,1,2021-10-10 16:51:59,Evan H.,Bad
55,55,1,1,I do enjoy KFC but you will wait 20+ minutes to get food here so make sure you have plenty of time. Not sure why they don't hire more people or have better...,2,2021-06-21 17:41:23,Michale M.,Bad
56,56,2,2,"$7.60 for this??? Unbelievable! Dried out and tiny. I can't believe they'd even serve this to someone. 
  Highly disappointed.",1,2019-02-03 12:05:53,Beth D.,Bad
57,57,0,0,"Amazing!  I rolled up coming from Glasgow... Long trip... Needing to go 6 more hours and I don't know a darn thing about coffee. I said I need cold, sweet...",5,2019-08-06 22:47:00,Allese B.,Good
58,58,1,1,"I love Hog Heaven. It might be a little out of the way for some, but it's worth the drive. It's a family run business, and you get great service. You can...",4,2017-12-05 07:46:32,Lowell W.,Good
59,59,0,0,"Great staff.
Great location.
Close to the park and rover front.
The salad with huckleberry vinaigrette left my wife asking if they sell it so she could...",5,2021-08-23 14:53:11,Michael P.,Good
60,60,1,1,Well I'm pretty sure tonight's waitress is in a relationship with the kid stomping from below to ground level when I asked her if he needed to stomp up the...,1,2021-12-01 17:43:05,John N.,Bad
61,61,2,2,"We only stopped here to grab a bottle of Hucked bourbon. It is so good. 
We were shocked after spending time in the distillery that we were not able to...",3,2021-10-23 15:27:28,Jerry P.,Bad
62,62,0,0,"Fabulous lunch during our short visit to Missoula. We sat outdoors and received impeccable service. 

Their Mexican Street Corn Salad is a beautiful...",5,2021-08-30 12:38:12,Vicky C.,Good
63,63,1,1,I would caution anyone thinking about going to this event. I had a party of four attend Stave and Hoop last month. I ordered a $50 DOUBLE Don Julio 1942...,1,2021-11-20 11:42:12,Ronald B.,Bad
64,64,2,2,Pangea is a cool restaurant in downtown Missoula serving global food and drink. The restaurant has tons of seating inside and out and has very friendly...,3,2021-09-19 21:41:34,Todd L.,Bad
65,65,0,0,Easily the best Chinese food in Missoula. Their egg drop soup is the best I have ever had. Really cool restaurant. A little small but the atmosphere is...,5,2021-05-18 14:20:58,Hunter G.,Good
66,66,1,1,"Came here for lunch while visiting family in Missoula. Food and experience were definitely not great, so won't revisit. Details below:

Service & Menu:...",2,2021-07-01 12:35:43,Gary O.,Bad
67,67,2,2,"Fast friendly efficient service! That's the stars
Gorgeous restaurant, clean RR

Food? Pretty good chunks of all, fresh, but!
NO flavor, zip. Adding s/p &...",2,2021-09-01 09:20:35,S S.,Bad
68,68,0,0,"I had a really hard time trying to rate China Buffet. It has been in Missoula for as long as I've lived here (13 years). In that 13 years, I have eaten here...",3,2019-11-01 19:34:01,Lisa W.,Bad
69,69,1,1,"The problem is not the food, it is their EXCESSIVE US OF STYROFOAM!....There is no CDC code requiring the use of styrofoam......When I tried to reuse my...",1,2021-09-08 15:28:46,Lori D.,Bad
70,70,2,2,Glad there open there the only one I know that is. It's $10.99 all day  they give you pictures and you mark on a piece of paper want you want just like a...,4,2020-08-09 18:28:17,Tom B.,Good
71,71,0,0,We drove allllll the way from Spokane Valley to Missoula on our anniversary today to get Staggering Ox. We were heart broken when ours shut down....,4,2021-08-15 22:02:02,Brandi P.,Good
72,72,1,1,"Wasn't bad, wasn't great... the concept is really cool and the bread was excellent... however the sandwich was so big it was hard to eat. Sauce was spilling...",3,2021-09-10 09:27:50,Daniel S.,Bad
73,73,2,2,Was on a road trip and was passing through Missoula. Friends who are from Missoula highly recommended the odd but cool looking sandwiches. We really enjoyed...,5,2020-10-13 22:20:30,Erick I.,Good
74,74,0,0,"My wife and I recently moved to Missoula and on our way out this morning to run errands and familiarize ourselves with the city, we ordered breakfast take...",5,2021-10-16 10:27:08,Nancy A.,Good
75,75,1,1,I called the number Yelp provided to ask about breakfast options because the Yelp menu only listed a couple of lunch salads. The woman I talked to said I...,3,2021-08-31 09:23:03,Margita L.,Bad
76,76,2,2,"This place would have had an amazing atmosphere if it weren't for the barista named Kaylee. She was visibly rude to customers as well as her co workers,...",2,2020-12-01 04:42:19,Sebastian M.,Bad
77,77,0,0,"Such a great spot for a quick, inexpensive meal on the go. My friend got a breakfast pizza, which was genius. He was raving about it 2 days later. His wife...",5,2018-07-17 18:14:54,Justin R.,Good
