name,id,url,review_count,rating,price,phone,Address,Address_2,City,Zip_Code
Boxcar Bistro,kyv7XyDm7rbd-Vw6PpVwCw,https://www.yelp.com/biz/boxcar-bistro-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,33,5.0,$$$,+14065514166,875 Wyoming St,Ste 101,Missoula,59801
Tamarack Brewing Company,5tlg-MSf7ZCiLvvAXNmUoQ,https://www.yelp.com/biz/tamarack-brewing-company-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,661,4.0,$$,+14068303113,231 W Front St,,Missoula,59802
Second Set Bistro,rbNgp7mrOmaF3mZ3i3RFxg,https://www.yelp.com/biz/second-set-bistro-missoula-3?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,54,5.0,,+14068303233,111 N Higgins Ave,,Missoula,59802
Plonk,90kbM8J48c_3qyO2hzHKyw,https://www.yelp.com/biz/plonk-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,255,4.5,$$,+14069261791,322 N Higgins Ave,,Missoula,59802
Top Hat,md1U1frT7i2KJ5eMciFaIQ,https://www.yelp.com/biz/top-hat-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,189,4.0,$$,+14067289865,134 W Front St,,Missoula,59802
Zoo Thai,qSsxBOUcejLIMv3f-4W3xA,https://www.yelp.com/biz/zoo-thai-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,78,4.0,$$,+14065404206,150 E Front St,,Missoula,59802
Gild,2mChJfBZEfXAYNNza2B4lw,https://www.yelp.com/biz/gild-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,54,4.5,,+14069263258,515 S Higgins Ave,,Missoula,59801
Market On Front,8aS29FSpTGyACWPxbXllvw,https://www.yelp.com/biz/market-on-front-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,293,4.5,$,+14065410246,201 E Front St,,Missoula,59802
The Notorious PIG BBQ,RK1qZo7h4oPNG4bwp-X6oQ,https://www.yelp.com/biz/the-notorious-pig-bbq-missoula-2?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,563,4.5,$$,+14069261344,247 W Front St,,Missoula,59802
The Camino,k328WQhIxSBNPH-QkcvxnQ,https://www.yelp.com/biz/the-camino-missoula?adjust_creative=9aetCFF9NH-ceRnjnNBXZg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9aetCFF9NH-ceRnjnNBXZg,75,4.0,,+14063171260,125 N Pattee St,,Missoula,59802
